股票代碼,公司名稱,公司簡稱,統編,自訂產業別,要看報告書,標記V為官方報告書；標記O為自出報告書；文字為集團報告書
6116,瀚宇彩晶股份有限公司,瀚宇彩晶,16450500,光電業,V,
6147,頎邦科技股份有限公司,頎邦科技,16130009,半導體業,V,
6153,嘉聯益科技股份有限公司,嘉聯益科技,86980046,電子業,V,
6182,合晶科技股份有限公司,合晶科技,16138282,半導體業,V,
6239,力成科技股份有限公司,力成科技,16082267,半導體業,V,
6257,矽格股份有限公司,矽格,23218022,半導體業,V,
6274,台燿科技股份有限公司,台燿科技,	04226091,電子業,V,
6443,元晶太陽能科技股份有限公司,元晶太陽能科技,28997300,光電業,V,
6488,環球晶圓股份有限公司,環球晶圓,28113286,半導體業,V,
6491,晶碩光學股份有限公司,晶碩光學,25021158,玻璃業,V,
6505,台塑石化股份有限公司,台塑石化,86522210,石化業,V,
6581,台灣鋼聯股份有限公司,台灣鋼聯,89528054,石化業,V,
6770,力晶積成電子製造股份有限公司,力晶積成電子製造,28112667,半導體業,V,
6789,采鈺科技股份有限公司,采鈺科技,80601119,半導體業,V,
6790,永豐餘消費品實業股份有限公司,永豐餘消費品實業,22327037,造紙業,V,
,漢泰鋼鐵廠股份有限公司,漢泰鋼鐵廠,75688109,鋼鐵業,O,
8028,昇陽國際半導體股份有限公司,昇陽國際半導體,84149884,半導體業,V,
8046,南亞電路板股份有限公司,南亞電路板,16096804,電子業,V,
8069,元太科技工業股份有限公司,元太科技工業,22099890,光電業,V,
8086,宏捷科技股份有限公司,宏捷科技,16130423,半導體業,V,
8105,凌巨科技股份有限公司,凌巨科技,16432742,光電業,V,
8110,華東科技股份有限公司,華東科技,22101116,半導體業,V,
8131,福懋科技股份有限公司,福懋科技,23826736,半導體業,V,
8150,南茂科技股份有限公司,南茂科技,16130042,半導體業,V,
8358,金居開發股份有限公司,金居開發,16447610,非鋼鐵金屬業,V,
,晶元光電股份有限公司,晶元光電,84149786,光電業,O,
,中龍鋼鐵股份有限公司,中龍鋼鐵,84613756,鋼鐵業,O,
8463,潤泰精密材料股份有限公司,潤泰精密材料,86871981,水泥業,V,
,信昌化學工業股份有限公司,信昌化學工業,86120031,石化業,O,
,台灣恩智浦半導體股份有限公司,台灣恩智浦半導體,89002500,半導體業,O,
,中鋼鋁業股份有限公司,中鋼鋁業,96971313,非鋼鐵金屬業,O,
9907,統一實業股份有限公司,統一實業,73252657,非鋼鐵金屬業,V,
9921,巨大機械工業股份有限公司,巨大機械工業,56054251,其他,V,
9930,中聯資源股份有限公司,中聯資源,86119908,廢棄物處理業,V,
9939,宏全國際股份有限公司,宏全國際,58176511,石化業,V,
,大連化學工業股份有限公司,大連化學工業,12233428,石化業,長春,
,長春人造樹脂廠股份有限公司,長春人造樹脂廠,11384708,石化業,長春,
,長春石油化學股份有限公司,長春石油化學,11384806,石化業,長春,
,台灣美光記憶體股份有限公司,台灣美光記憶體,28518076,半導體業,美光,
,台灣美光晶圓科技股份有限公司,台灣美光晶圓科技,80353271,半導體業,美光,
