stock_code,name,name_abbr,tax_code,industry_code,company_type,industry
5522,遠雄建設事業股份有限公司,遠雄,04673318,14,上市,建材營造
6190,萬泰科技股份有限公司,萬泰科,04674153,27,上櫃,通信網路業
1432,大魯閣實業股份有限公司,大魯閣,04690983,37,上市,運動休閒
2208,台灣國際造船股份有限公司,台船,04695235,15,上市,航運業
8029,久尹股份有限公司,久尹股份,04717913,13,公開發行,電子工業
2423,固緯電子實業股份有限公司,固緯,04735004,31,上市,其他電子業
5206,坤悅開發股份有限公司,坤悅,04738240,14,上櫃,建材營造
1760,寶齡富錦生技股份有限公司,寶齡富錦,04742997,22,上市,生技醫療業
1313,聯成化學科技股份有限公司,聯成,04748660,3,上市,塑膠工業
6125,廣運機械工程股份有限公司,廣運,04757891,26,上櫃,光電業
3013,晟銘電子科技股份有限公司,晟銘電,04777186,25,上市,電腦及週邊設備業
8379,欣湖天然氣股份有限公司,欣湖公司,04779353,20,公開發行,其他
3305,昇貿科技股份有限公司,昇貿,04789211,31,上市,其他電子業
1533,車王電子股份有限公司,車王電,04827138,12,上市,汽車工業
6133,金橋科技股份有限公司,金橋,04865462,28,上市,電子零組件業
2462,台灣良得電子股份有限公司,良得電,04877657,28,上市,電子零組件業
2509,全坤建設開發股份有限公司,全坤建,04921056,14,上市,建材營造
2424,隴華電子股份有限公司,隴華,04926876,27,上市,通信網路業
5603,陸海股份有限公司,陸海,04927158,15,上櫃,航運業
3067,全域股份有限公司,全域,04934334,31,上櫃,其他電子業
1594,日高工程實業股份有限公司,日高,04938839,5,興櫃,電機機械
2614,東森國際股份有限公司,東森,04964250,20,上市,其他
2453,凌群電腦股份有限公司,凌群,04967550,30,上市,資訊服務業
2302,麗正國際科技股份有限公司,麗正,04982433,24,上市,半導體業
1619,大展電線電纜股份有限公司,大展電線,05024240,6,公開發行,電器電纜
6761,穩得實業股份有限公司,穩得,05052033,28,上櫃,電子零組件業
5844,第一商業銀行股份有限公司,第一銀行,05052322,17,公開發行,金融保險
5833,元大證券金融股份有限公司,元大證金,05067113,17,公開發行,金融保險
4173,久裕企業股份有限公司,久裕,05071926,22,上櫃,生技醫療業
2858,中租迪和股份有限公司,中租迪和,05072925,20,公開發行,其他
3379,彬台科技股份有限公司,彬台,05087498,5,上櫃,電機機械
8048,德勝科技股份有限公司,德勝,05094603,27,上櫃,通信網路業
6122,擎邦國際科技工程股份有限公司,擎邦,05114306,5,上櫃,電機機械
2580,遠揚營造工程股份有限公司,遠揚營造,05117325,14,公開發行,建材營造
2441,超豐電子股份有限公司,超豐,05126366,24,上市,半導體業
2365,昆盈企業股份有限公司,昆盈,05141520,25,上市,電腦及週邊設備業
8210,勤誠興業股份有限公司,勤誠,05143647,25,上市,電腦及週邊設備業
5324,士林開發股份有限公司,士開,05147030,14,上櫃,建材營造
2395,研華股份有限公司,研華,05155853,25,上市,電腦及週邊設備業
